日期	注册数2	戳额数2	有银联分2	有额度数2	Textbox63	被拒绝数	Textbox122	发标数	Textbox65	成交笔数	Textbox69	Textbox74	Textbox77	Textbox82	Textbox85	Textbox105	Textbox100	Textbox123	发标数1	Textbox109	成交笔数1	Textbox111
2017/1/2	36	771	273	16	2.08%	755	"¥14,375.00 "	2	12.50%	2	0.26%	479	13975	4717	234	1.67%	13741	"¥13,290.60 "	83	35.47%	50	0.36%
2017/1/1	27	623	200	13	2.09%	610	"¥10,769.23 "	4	30.77%	2	0.32%	479	13975	4717	234	1.67%	13741	"¥13,290.60 "	83	35.47%	50	0.36%
2016/12/31	33	916	318	23	2.51%	893	"¥12,608.70 "	6	26.09%	10	1.09%	479	13975	4717	234	1.67%	13741	"¥13,290.60 "	83	35.47%	50	0.36%
2016/12/30	79	1608	576	39	2.43%	1569	"¥14,871.79 "	8	20.51%	3	0.19%	479	13975	4717	234	1.67%	13741	"¥13,290.60 "	83	35.47%	50	0.36%
2016/12/29	101	2426	802	46	1.90%	2380	"¥12,173.91 "	13	28.26%	5	0.21%	479	13975	4717	234	1.67%	13741	"¥13,290.60 "	83	35.47%	50	0.36%
2016/12/28	83	2951	941	31	1.05%	2920	"¥14,516.13 "	13	41.94%	10	0.34%	479	13975	4717	234	1.67%	13741	"¥13,290.60 "	83	35.47%	50	0.36%
2016/12/27	50	1746	580	18	1.03%	1728	"¥11,111.11 "	5	27.78%	4	0.23%	479	13975	4717	234	1.67%	13741	"¥13,290.60 "	83	35.47%	50	0.36%
2016/12/26	22	1114	370	10	0.90%	1104	"¥11,000.00 "	2	20.00%	1	0.09%	479	13975	4717	234	1.67%	13741	"¥13,290.60 "	83	35.47%	50	0.36%
2016/12/25	6	464	157	7	1.51%	457	"¥10,000.00 "	3	42.86%	1	0.22%	479	13975	4717	234	1.67%	13741	"¥13,290.60 "	83	35.47%	50	0.36%
2016/12/24	12	608	216	10	1.64%	598	"¥16,000.00 "	6	60.00%	4	0.66%	479	13975	4717	234	1.67%	13741	"¥13,290.60 "	83	35.47%	50	0.36%
2016/12/23	9	594	231	15	2.53%	579	"¥14,666.67 "	4	26.67%	3	0.51%	479	13975	4717	234	1.67%	13741	"¥13,290.60 "	83	35.47%	50	0.36%
2016/12/22	11	154	53	6	3.90%	148	"¥16,666.67 "	6	100.00%	1	0.65%	479	13975	4717	234	1.67%	13741	"¥13,290.60 "	83	35.47%	50	0.36%
